#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1403715273262142976,0.0,0.0,0.000000000,0.000000000,0.0,9.81
1403715273267142976,0.0,0.0,0.000314108,0.001255810,0.0,9.81
1403715273272142976,0.0,0.0,0.000627905,0.002506665,0.0,9.81
1403715273277142976,0.0,0.0,0.000941083,0.003747626,0.0,9.81
1403715273282142976,0.0,0.0,0.001253332,0.004973798,0.0,9.81
1403715273287142976,0.0,0.0,0.001564345,0.006180340,0.0,9.81
1403715273292142976,0.0,0.0,0.001873813,0.007362491,0.0,9.81
1403715273297142976,0.0,0.0,0.002181432,0.008515586,0.0,9.81
1403715273302142976,0.0,0.0,0.002486899,0.009635073,0.0,9.81
1403715273307142976,0.0,0.0,0.002789911,0.010716536,0.0,9.81
1403715273312142976,0.0,0.0,0.003090170,0.011755705,0.0,9.81
1403715273317142976,0.0,0.0,0.003387379,0.012748480,0.0,9.81
1403715273322142976,0.0,0.0,0.003681246,0.013690942,0.0,9.81
1403715273327142976,0.0,0.0,0.003971479,0.014579373,0.0,9.81
1403715273332142976,0.0,0.0,0.004257793,0.015410265,0.0,9.81
1403715273337142976,0.0,0.0,0.004539905,0.016180340,0.0,9.81
1403715273342142976,0.0,0.0,0.004817537,0.016886559,0.0,9.81
1403715273347142976,0.0,0.0,0.005090414,0.017526134,0.0,9.81
1403715273352142976,0.0,0.0,0.005358268,0.018096541,0.0,9.81
1403715273357142976,0.0,0.0,0.005620834,0.018595530,0.0,9.81
1403715273362142976,0.0,0.0,0.005877853,0.019021130,0.0,9.81
1403715273367142976,0.0,0.0,0.006129071,0.019371663,0.0,9.81
1403715273372142976,0.0,0.0,0.006374240,0.019645745,0.0,9.81
1403715273377142976,0.0,0.0,0.006613119,0.019842294,0.0,9.81
1403715273382142976,0.0,0.0,0.006845471,0.019960535,0.0,9.81
1403715273387142976,0.0,0.0,0.007071068,0.020000000,0.0,9.81
1403715273392142976,0.0,0.0,0.007289686,0.019960535,0.0,9.81
1403715273397142976,0.0,0.0,0.007501111,0.019842294,0.0,9.81
1403715273402142976,0.0,0.0,0.007705132,0.019645745,0.0,9.81
1403715273407142976,0.0,0.0,0.007901550,0.019371663,0.0,9.81
1403715273412142976,0.0,0.0,0.008090170,0.019021130,0.0,9.81
1403715273417142976,0.0,0.0,0.008270806,0.018595530,0.0,9.81
1403715273422142976,0.0,0.0,0.008443279,0.018096541,0.0,9.81
1403715273427142976,0.0,0.0,0.008607420,0.017526134,0.0,9.81
1403715273432142976,0.0,0.0,0.008763067,0.016886559,0.0,9.81
1403715273437142976,0.0,0.0,0.008910065,0.016180340,0.0,9.81
1403715273442142976,0.0,0.0,0.009048271,0.015410265,0.0,9.81
1403715273447142976,0.0,0.0,0.009177546,0.014579373,0.0,9.81
1403715273452142976,0.0,0.0,0.009297765,0.013690942,0.0,9.81
1403715273457142976,0.0,0.0,0.009408808,0.012748480,0.0,9.81
1403715273462142976,0.0,0.0,0.009510565,0.011755705,0.0,9.81
1403715273467142976,0.0,0.0,0.009602937,0.010716536,0.0,9.81
1403715273472142976,0.0,0.0,0.009685832,0.009635073,0.0,9.81
1403715273477142976,0.0,0.0,0.009759168,0.008515586,0.0,9.81
1403715273482142976,0.0,0.0,0.009822873,0.007362491,0.0,9.81
1403715273487142976,0.0,0.0,0.009876883,0.006180340,0.0,9.81
1403715273492142976,0.0,0.0,0.009921147,0.004973798,0.0,9.81
1403715273497142976,0.0,0.0,0.009955620,0.003747626,0.0,9.81
1403715273502142976,0.0,0.0,0.009980267,0.002506665,0.0,9.81
1403715273507142976,0.0,0.0,0.009995066,0.001255810,0.0,9.81
1403715273512142976,0.0,0.0,0.010000000,0.000000000,0.0,9.81
1403715273517142976,0.0,0.0,0.009995066,-0.001255810,0.0,9.81
1403715273522142976,0.0,0.0,0.009980267,-0.002506665,0.0,9.81
1403715273527142976,0.0,0.0,0.009955620,-0.003747626,0.0,9.81
1403715273532142976,0.0,0.0,0.009921147,-0.004973798,0.0,9.81
1403715273537142976,0.0,0.0,0.009876883,-0.006180340,0.0,9.81
1403715273542142976,0.0,0.0,0.009822873,-0.007362491,0.0,9.81
1403715273547142976,0.0,0.0,0.009759168,-0.008515586,0.0,9.81
1403715273552142976,0.0,0.0,0.009685832,-0.009635073,0.0,9.81
1403715273557142976,0.0,0.0,0.009602937,-0.010716536,0.0,9.81
1403715273562142976,0.0,0.0,0.009510565,-0.011755705,0.0,9.81
1403715273567142976,0.0,0.0,0.009408808,-0.012748480,0.0,9.81
1403715273572142976,0.0,0.0,0.009297765,-0.013690942,0.0,9.81
1403715273577142976,0.0,0.0,0.009177546,-0.014579373,0.0,9.81
1403715273582142976,0.0,0.0,0.009048271,-0.015410265,0.0,9.81
1403715273587142976,0.0,0.0,0.008910065,-0.016180340,0.0,9.81
1403715273592142976,0.0,0.0,0.008763067,-0.016886559,0.0,9.81
1403715273597142976,0.0,0.0,0.008607420,-0.017526134,0.0,9.81
1403715273602142976,0.0,0.0,0.008443279,-0.018096541,0.0,9.81
1403715273607142976,0.0,0.0,0.008270806,-0.018595530,0.0,9.81
1403715273612142976,0.0,0.0,0.008090170,-0.019021130,0.0,9.81
